"week_num","country","churn_user_cnt","churn_change","sum_trade_amount","avg_trade_amount"
"W16","D国","284",,"303960","1070.28169"
"W17","D国","768","484","837402.06","1090.367266"
"W16","J国","54",,"50911.4","942.803704"
"W17","J国","138","84","139705.33","1012.357464"
"W16","M国","84",,"86089.65","1024.876786"
"W17","M国","162","78","152304.34","940.150247"
"W16","R国","158",,"178444.2","1129.393671"
"W17","R国","437","279","450745.05","1031.453204"
"W16","S国","84",,"117202.5","1395.267857"
"W17","S国","225","141","263564.3","1171.396889"
"W16","V国","133",,"121171.83","911.066391"
"W17","V国","333","200","457096.58","1372.662402"
"W16","其它","40",,"41923.95","1048.09875"
"W17","其它","132","92","129047.54","977.632879"
