"week_num","tier","churn_user_cnt","churn_change"
"W14","中度用户","14187",
"W15","中度用户","10704","-3483"
"W16","中度用户","15096","4392"
"W17","中度用户","18499","3403"
"W18","中度用户","16788","-1711"
"W19","中度用户","12629","-4159"
"W20","中度用户","16290","3661"
"W21","中度用户","11699","-4591"
"W22","中度用户","12262","563"
"W14","轻度用户","8146",
"W15","轻度用户","6066","-2080"
"W16","轻度用户","8465","2399"
"W17","轻度用户","7178","-1287"
"W18","轻度用户","6430","-748"
"W19","轻度用户","7314","884"
"W20","轻度用户","8909","1595"
"W21","轻度用户","7303","-1606"
"W22","轻度用户","6871","-432"
"W14","重度用户","3559",
"W15","重度用户","2481","-1078"
"W16","重度用户","4306","1825"
"W17","重度用户","10900","6594"
"W18","重度用户","8438","-2462"
"W19","重度用户","3465","-4973"
"W20","重度用户","4686","1221"
"W21","重度用户","3020","-1666"
"W22","重度用户","2928","-92"
